,tsne_feature_1,tsne_feature_2,tsne_feature_3,labels
0,4.490443,1.2836852,13.444109,1.0
1,-0.07907512,9.336641,12.861602,1.0
2,10.526618,6.4768867,18.158987,1.0
3,6.028946,6.636477,-11.139317,1.0
4,-3.9298909,-6.294388,-26.275013,1.0
5,-13.899771,-17.841438,7.5551863,1.0
6,15.276361,11.853204,14.980622,1.0
7,21.44352,12.156429,-1.7599105,1.0
8,-12.124603,-2.2847188,-0.44869176,1.0
9,-4.499337,22.303722,-13.264393,1.0
10,-11.905797,0.6548455,-25.641544,1.0
11,7.775046,6.512153,23.290194,1.0
12,0.91682476,-1.3971319,-14.651126,1.0
13,5.584511,1.5558368,12.342538,1.0
14,1.8835025,0.7868919,22.09114,1.0
15,-4.4301615,-6.0109572,-24.478199,1.0
16,4.4812617,2.5668747,15.745957,1.0
17,-7.467886,-13.384765,-13.803379,1.0
18,18.08991,11.609733,-4.634566,1.0
19,5.8006907,-3.5307233,21.54308,1.0
20,-10.567985,11.89049,16.640673,1.0
21,-7.929613,-6.7950697,-14.138373,1.0
22,11.407572,9.311916,-11.012987,1.0
23,8.248641,8.257403,15.572307,1.0
24,-18.990343,-15.115589,4.9832387,1.0
25,4.013244,-5.520678,-6.074755,1.0
26,-15.179724,9.471867,-3.5315402,1.0
27,6.0709324,-21.581432,-11.242971,1.0
28,5.0446754,3.2601123,15.133535,1.0
29,6.3897967,-21.649187,-4.955091,1.0
30,-9.332745,-12.618106,-13.179083,1.0
31,4.8832164,-12.275753,-17.949627,1.0
32,-8.585742,-7.120055,-8.558845,1.0
33,5.8177485,2.1263607,13.452357,1.0
34,1.4638653,-10.926041,9.229226,1.0
35,16.45031,12.950127,15.864835,1.0
36,3.3549342,-21.400122,-5.0346336,1.0
37,-9.163149,1.1283175,-21.284271,1.0
38,7.459304,-13.757373,9.859461,1.0
39,2.9178731,3.742431,-17.296112,1.0
40,13.275743,-12.179,-5.579649,1.0
41,-14.404294,-16.485966,-1.8423965,1.0
42,6.133581,3.1418848,16.658297,1.0
43,3.6166897,17.988066,-13.606658,1.0
44,-8.1964855,-13.498361,-15.166372,1.0
45,-5.575711,-15.679395,-20.171745,1.0
46,5.5832486,1.8196105,22.990026,1.0
47,-0.25643933,12.45688,-10.691554,1.0
48,-18.161745,-15.05826,-0.8877208,1.0
49,-11.795526,-3.412005,-24.155058,1.0
50,14.883709,16.892115,3.8909295,1.0
51,-12.703642,-15.391326,-13.728043,1.0
52,4.2348075,6.076136,24.140987,1.0
53,-13.321097,-5.939069,-13.091981,1.0
54,6.4588213,22.773672,-4.8264365,1.0
55,8.897244,9.0862055,15.527829,1.0
56,2.3983905,18.233597,16.292997,1.0
57,-10.0584755,-18.496252,8.305837,1.0
58,-7.771655,-13.076125,-12.647086,1.0
59,-8.509561,-9.424711,-17.242842,1.0
60,5.1712723,13.419242,-7.329178,1.0
61,-10.712751,1.8120517,-24.228367,1.0
62,-13.88251,-0.021998392,-24.458437,1.0
63,-7.625983,9.420332,-3.0540526,1.0
64,-12.337593,-8.173897,12.839842,1.0
65,-13.755109,-12.891635,-16.098455,1.0
66,5.524718,9.671767,-7.472609,1.0
67,-14.466608,-7.3028426,12.978577,1.0
68,-18.149836,-12.177514,3.7979722,1.0
69,-13.792462,0.3158897,-23.51098,1.0
70,-18.860746,17.844444,6.9283557,1.0
71,-6.751675,-7.5480757,-24.892126,1.0
72,-8.103997,-5.3076267,-20.721455,1.0
73,4.3502927,-18.728449,-1.9138187,1.0
74,-2.2071362,18.568857,6.462658,1.0
75,2.7309413,6.5242,22.695606,1.0
76,-7.0144625,-13.315399,-13.437926,1.0
77,5.737243,19.430897,-17.432419,1.0
78,5.9332767,8.1296425,-14.252098,1.0
79,-12.231084,-11.920517,5.452498,1.0
80,6.392073,-8.491709,-13.009384,1.0
81,-4.4735904,17.484814,-14.301511,1.0
82,25.470718,-10.398058,0.20033921,1.0
83,-14.851416,-9.764596,-17.14414,1.0
84,-12.408404,-7.205888,9.314574,1.0
85,2.2365296,-0.4800307,4.500766,1.0
86,10.42543,6.1730876,19.061148,1.0
87,4.015717,7.1892047,23.081224,1.0
88,-14.092349,-10.365371,3.2947013,1.0
89,-13.530224,-7.823801,13.107707,1.0
90,1.874866,0.78452975,22.042824,1.0
91,-16.79929,-18.326279,0.42317557,1.0
92,18.431038,15.121984,-3.497588,1.0
93,-12.832962,-4.8685517,-11.539103,1.0
94,4.46771,-2.1192968,-0.17015758,1.0
95,-5.108981,4.825263,15.540846,1.0
96,-17.063614,3.9248874,-13.680986,1.0
97,9.367248,9.874176,17.23287,1.0
98,-10.456713,-14.931099,-15.889389,1.0
99,5.4775815,26.899433,-3.0344777,1.0
100,7.3979754,4.4009814,19.131403,1.0
101,-12.811108,9.558126,16.260078,1.0
102,-7.6785283,-2.2327578,16.90566,1.0
103,2.4411418,6.774121,22.57446,1.0
104,-1.1897652,26.519754,-5.3552594,1.0
105,-13.93609,-21.868984,-1.8707075,1.0
106,-10.192909,-1.7924256,-21.838793,1.0
107,-3.6109366,5.1971016,10.736278,1.0
108,6.5803146,22.290867,9.460892,1.0
109,1.5390316,24.54671,-1.1118001,1.0
110,9.747634,6.418478,17.072517,1.0
111,6.7613935,3.5242238,17.263735,1.0
112,-2.6823912,15.829072,-17.939753,1.0
113,-6.0892,1.2713323,6.5627937,1.0
114,21.969517,9.555069,6.1691694,1.0
115,13.114413,11.727591,14.569865,1.0
116,-8.073847,-21.085417,-13.933939,1.0
117,-14.956948,-22.151194,-1.0947738,1.0
118,16.881178,0.48004425,-10.817496,1.0
119,-2.063853,3.5199177,-18.598013,1.0
120,-11.746307,12.883699,-3.9084053,1.0
121,-11.806986,-4.9763417,-11.502964,1.0
122,3.1775413,-15.990934,-1.8924109,1.0
123,-4.9989233,-15.127342,-19.975756,1.0
124,13.410095,21.357203,-3.5360725,1.0
125,6.0850983,25.476759,-3.936035,1.0
126,-13.211316,-15.769197,-13.770723,1.0
127,-4.93152,22.12948,-12.939905,1.0
128,-5.1913886,-13.512257,3.9378166,1.0
129,-0.27519062,25.115751,-7.497427,1.0
130,-3.3426542,-8.012367,-22.723783,1.0
131,-15.572023,-10.666383,-17.491434,1.0
132,-11.470198,-14.321421,-23.193058,1.0
133,-7.240843,8.102047,-3.7924566,1.0
134,-3.8787305,-6.460967,-25.91886,1.0
135,5.6383133,19.000937,-4.910802,1.0
136,-16.152452,-17.712278,6.6675973,1.0
137,15.084624,21.778397,-3.0386107,1.0
138,-4.29527,-17.532267,-18.91016,1.0
139,-22.074804,-1.52959,10.059621,1.0
140,8.027635,6.4010005,19.192705,1.0
141,5.3876104,6.5063276,-0.9826742,1.0
142,-14.057196,-7.4107566,-12.807757,1.0
143,16.790104,13.019011,15.158811,1.0
144,-8.870743,-8.404224,-10.631153,1.0
145,-16.580322,-17.295626,7.3864202,1.0
146,-20.349789,-13.588273,0.799209,1.0
147,0.38003337,2.9840033,-23.344353,1.0
148,-8.402356,-6.0442376,-20.24669,1.0
149,1.1859818,4.741641,27.582262,1.0
150,-21.817184,-2.9180791,2.886889,1.0
151,4.8679624,1.6888587,13.266047,1.0
152,-2.9677436,8.951365,-18.944685,1.0
153,-16.35116,-20.574308,-3.0258665,1.0
154,2.560813,10.930848,8.101412,1.0
155,1.9728049,3.988025,28.775185,1.0
156,1.7046909,6.536578,0.21083839,1.0
157,7.6019974,7.0780716,-9.7084055,1.0
158,11.176795,11.702878,-7.5810275,1.0
159,-13.625444,0.8175646,-23.553347,1.0
160,3.2939885,21.401293,-16.156626,1.0
161,6.6896396,3.196013,17.385479,1.0
162,13.425542,-2.5855546,-13.17717,1.0
163,-11.257987,-10.930183,-21.401411,1.0
164,-12.579516,-5.2991405,-12.571069,1.0
165,-20.878561,-15.705,1.1840155,1.0
166,-21.002419,8.909912,11.914355,1.0
167,-7.684492,-20.403954,-15.552825,1.0
168,-15.8016205,-11.094058,-17.750395,1.0
169,4.5807734,-6.848053,-5.048191,1.0
170,8.234582,-9.475183,-5.025176,1.0
171,16.509184,12.901087,15.761903,1.0
172,0.6538551,-1.5990002,-14.711706,1.0
173,-13.214807,-0.81402427,-20.5623,1.0
174,-15.098098,2.164314,-13.707352,1.0
175,-3.8385396,-16.619467,-20.07371,1.0
176,-2.9630175,6.7590075,-15.656116,1.0
177,-6.5030947,-20.95044,-16.449366,1.0
178,-1.1820147,25.750313,-7.6710367,1.0
179,-10.8042965,-16.007019,13.733828,1.0
180,3.1392531,3.938419,-16.45643,1.0
181,-16.53704,-11.856309,3.6234105,1.0
182,1.0660708,8.887854,-0.019695831,1.0
183,14.269175,17.187735,4.0081034,1.0
184,16.0797,12.114308,13.805165,1.0
185,8.643775,-14.06503,-7.651371,1.0
186,7.592795,0.9077119,16.98113,1.0
187,15.246279,14.87821,14.721926,1.0
188,14.2839,-14.033824,-8.004541,1.0
189,5.512078,1.4802461,12.300743,1.0
190,4.870714,11.504302,-6.328739,1.0
191,-11.903522,-12.934149,-12.870881,1.0
192,0.1394379,-2.6574934,3.1692026,1.0
193,13.234455,12.563859,13.418238,1.0
194,5.831651,6.482012,0.5282796,1.0
195,-11.689252,-15.099317,6.660809,1.0
196,-3.870906,-14.488155,-18.702547,1.0
197,3.5797434,-14.376934,-14.9722595,1.0
198,12.389728,-15.070492,-6.755798,1.0
199,-2.1482537,10.341172,-20.655952,1.0
200,-12.6301365,-13.02425,11.927493,1.0
201,15.097001,12.878615,13.514326,1.0
202,2.3326232,6.5807304,8.12991,1.0
203,2.5520427,6.753126,8.8923,1.0
204,-1.5266129,-10.306204,-6.0752416,1.0
205,5.3998594,22.002947,-13.491222,1.0
206,6.6597433,21.337679,9.506653,1.0
207,6.2564354,-6.0960603,9.898304,1.0
208,-5.071269,-19.620531,-17.260998,1.0
209,-23.783466,9.871187,9.510791,1.0
210,5.9724064,3.1771526,-17.285381,1.0
211,-18.106533,15.690117,10.594674,1.0
212,-9.926049,-17.969543,3.1338391,1.0
213,7.559021,4.1739087,-20.195461,1.0
214,-2.1070669,10.779081,-21.962296,1.0
215,4.4678082,0.6000885,24.954544,1.0
216,-18.537714,-16.953611,-1.4265776,1.0
217,15.01952,14.7715225,13.466122,1.0
218,15.435106,14.3628025,13.724628,1.0
219,6.858209,8.22,16.812117,1.0
220,13.950372,12.902566,13.086511,1.0
221,0.022866514,-2.5653987,-5.7067637,1.0
222,-12.889542,5.115917,11.486847,1.0
223,24.438557,8.873845,0.053716857,1.0
224,9.2024145,-18.836948,5.181955,1.0
225,1.9292876,-0.8046744,20.180975,1.0
226,-5.326099,10.203664,17.98427,1.0
227,4.752107,-5.784238,-5.3769875,1.0
228,-0.46780738,-0.95021427,-16.63089,1.0
229,-14.569559,-9.716555,-17.049294,1.0
230,5.079368,11.96137,9.230369,1.0
231,1.5125067,-1.0736551,-20.179974,1.0
232,-2.9152699,9.002137,-18.889425,1.0
233,-9.707651,-6.5345526,-9.155154,1.0
234,-12.207102,-15.77726,12.175313,1.0
235,-14.813639,1.0443486,7.9837484,1.0
236,-11.898044,-8.45779,8.0229,1.0
237,7.528699,-17.475758,-4.4414954,1.0
238,-13.423418,-7.3191957,-13.91172,1.0
239,6.3469524,2.5236392,17.834278,1.0
240,13.102611,-11.230974,-5.5944185,1.0
241,4.7633824,-24.866297,-1.1948208,1.0
242,1.3967686,-20.505753,-0.39761105,1.0
243,14.687231,14.862226,13.757835,1.0
244,5.734664,-9.895667,-14.043068,1.0
245,17.258755,-1.5768574,14.805401,1.0
246,-14.455858,3.554211,-13.832012,1.0
247,-5.3989954,-19.76504,-16.989786,1.0
248,-20.90028,-3.564003,-7.993331,1.0
249,-0.9484018,-28.046074,9.294643,0.0
250,-11.243953,-13.672966,-12.720284,0.0
251,13.0596075,-2.4093015,-5.34709,0.0
252,-12.252015,8.278103,0.6385539,0.0
253,9.033071,-19.532183,15.382276,0.0
254,3.8824995,11.568232,-6.092346,0.0
255,3.817495,16.044764,-17.925316,0.0
256,1.1903116,5.2353983,27.637247,0.0
257,0.58779985,8.386713,0.27924687,0.0
258,-7.8906627,-6.613632,-14.38777,0.0
259,-0.30833796,24.60586,-6.7256446,0.0
260,8.393394,2.1287105,15.689091,0.0
261,-4.1088204,9.190514,6.0050926,0.0
262,-8.410786,8.036922,-5.8495603,0.0
263,-4.663817,8.264885,3.4203627,0.0
264,8.623266,-19.911207,7.678475,0.0
265,23.069283,5.3144503,-12.360752,0.0
266,-0.19797324,18.335928,2.4796505,0.0
267,5.391027,28.601929,0.06953037,0.0
268,3.6075208,3.357835,21.464708,0.0
269,-11.271165,-3.0846562,-20.910559,0.0
270,-7.524131,-5.410629,-16.108759,0.0
271,2.9030938,8.443361,0.8939823,0.0
272,-11.739862,-17.807186,7.246268,0.0
273,5.9021244,6.3188515,-19.839106,0.0
274,8.023451,2.268536,-17.334461,0.0
275,-13.531418,21.75594,12.002375,0.0
276,20.100998,-8.955609,6.472522,0.0
277,-3.1738865,9.978703,15.466579,0.0
278,-0.4976772,8.49284,12.885608,0.0
279,-16.216436,-9.241041,9.120131,0.0
280,-8.38792,17.354687,-11.093917,0.0
281,-13.431616,-12.699991,-16.192019,0.0
282,16.546003,-2.7894623,-19.591862,0.0
283,-8.004373,18.384233,-9.103024,0.0
284,-0.028175453,-12.018441,10.167603,0.0
285,-8.416389,7.706281,-6.2710295,0.0
286,18.68916,4.20464,-7.757998,0.0
287,-7.5326877,18.142035,-12.0198,0.0
288,12.827048,-1.6745694,-10.244595,0.0
289,-13.250842,-21.676193,-1.147735,0.0
290,-4.50016,-10.60921,21.18679,0.0
291,-0.43624622,-25.784843,10.478858,0.0
292,14.45928,-2.8065488,19.092106,0.0
293,-11.882239,-15.191627,6.6794505,0.0
294,16.659817,0.7520447,9.717073,0.0
295,5.7103105,27.740858,0.2789251,0.0
296,-4.983746,12.097743,10.783855,0.0
297,-9.547189,-17.870768,-15.775085,0.0
298,5.8934917,-17.587852,-1.4137305,0.0
299,-13.948803,-0.3741313,-1.3302969,0.0
300,-5.178509,16.9368,-14.218473,0.0
301,17.127462,15.373863,-1.682522,0.0
302,6.099461,-1.6026983,-1.0855719,0.0
303,3.2775872,-16.669413,-0.8264921,0.0
304,4.808058,-0.5818739,4.202381,0.0
305,-11.492992,-21.623957,-1.2059258,0.0
306,12.1589,-2.4448965,-12.633052,0.0
307,-4.3813663,-14.451612,5.1837816,0.0
308,0.6074176,1.4592276,-12.020673,0.0
309,8.426612,-8.861439,-6.321402,0.0
310,-10.920706,0.46027514,-6.52823,0.0
311,-4.5076823,19.663637,-8.230011,0.0
312,-8.034982,1.1861776,-5.7477446,0.0
