,tsne_feature_1,tsne_feature_2,labels
0,-51.61845,-52.710365,1
1,12.971007,-39.41346,1
2,-38.938267,-57.950806,1
3,-1.0860636,20.126148,1
4,-62.216255,-5.8414664,1
5,39.14922,20.988388,1
6,-57.418644,-37.237312,1
7,-0.7346265,50.128304,1
8,-8.538038,-76.15941,1
9,-24.156921,7.9586735,1
10,-53.41673,-3.326887,1
11,-42.76913,-60.376625,1
12,8.652437,8.827927,1
13,-51.9865,-51.955475,1
14,-55.11797,-55.97039,1
15,-61.86408,-4.811417,1
16,-49.76495,-53.58013,1
17,-73.47251,0.7272731,1
18,-2.055065,48.20432,1
19,-54.046883,-52.638805,1
20,0.97066784,-33.51229,1
21,-64.95769,1.3364769,1
22,-0.66713715,26.602419,1
23,-51.238102,-55.842358,1
24,51.610035,36.33034,1
25,23.568447,-13.476012,1
26,0.52960044,-66.879326,1
27,45.342014,-6.246494,1
28,-49.76194,-53.229904,1
29,44.661407,-4.924118,1
30,-74.22995,2.1496923,1
31,43.2789,-23.435436,1
32,-68.41386,3.6155918,1
33,-51.15044,-51.977104,1
34,22.587358,41.890385,1
35,-55.435703,-38.677593,1
36,44.944653,-3.9114108,1
37,-51.628075,-2.7972713,1
38,80.02865,-13.60491,1
39,-0.711463,1.4963856,1
40,27.152374,-22.770607,1
41,62.009567,29.03334,1
42,-46.782715,-52.846542,1
43,-23.903383,1.5539614,1
44,-72.33743,1.5319159,1
45,-72.05071,-6.007679,1
46,-46.627075,-61.607925,1
47,-11.959819,8.365654,1
48,59.726215,35.286972,1
49,-55.069477,0.35379556,1
50,-2.6872954,44.459034,1
51,-81.18045,8.478168,1
52,-42.76349,-61.959194,1
53,-65.957535,10.534371,1
54,-19.48902,29.676228,1
55,-51.222965,-56.12282,1
56,9.976444,-62.147114,1
57,38.573708,21.336582,1
58,-74.25989,0.14817503,1
59,-63.601017,5.012678,1
60,-5.3199606,23.710932,1
61,-52.271103,-3.959446,1
62,-53.94103,-4.8833537,1
63,-3.5829396,-62.79935,1
64,46.17567,35.636303,1
65,-78.65093,11.504789,1
66,-4.5032563,22.732485,1
67,45.863037,36.747066,1
68,50.84344,33.299755,1
69,-53.76232,-4.226931,1
70,-8.736378,-31.53468,1
71,-62.278584,-5.870772,1
72,-52.238537,3.942969,1
73,43.178276,-4.0800214,1
74,14.811513,-58.124813,1
75,-41.159607,-63.116776,1
76,-73.36613,0.0939167,1
77,-23.81363,-0.13788329,1
78,1.3694109,22.152119,1
79,44.667084,24.319658,1
80,38.67582,-19.906708,1
81,-18.322138,6.2180247,1
82,-35.987637,-28.51193,1
83,-66.454155,15.553472,1
84,44.22778,34.781433,1
85,28.823647,-1.3158844,1
86,-39.959618,-57.463562,1
87,-41.08792,-61.937702,1
88,50.711647,28.786009,1
89,45.86011,36.15268,1
90,-55.13899,-56.00268,1
91,61.37659,33.066944,1
92,-2.2194376,48.070744,1
93,-68.635315,10.921115,1
94,29.660004,-9.906709,1
95,11.246194,-37.82132,1
96,4.266987,-74.17208,1
97,-51.22905,-57.84951,1
98,-76.776596,7.1964593,1
99,-28.380552,32.336823,1
100,-41.306175,-53.148266,1
101,0.86690295,-34.227276,1
102,9.469045,-37.95394,1
103,-40.7321,-63.38331,1
104,-33.78241,27.284935,1
105,69.6811,32.19643,1
106,-52.644863,-1.0642636,1
107,12.417187,-34.442528,1
108,15.458909,-62.17806,1
109,-27.592207,25.663809,1
110,-37.535973,-57.13025,1
111,-44.139603,-53.296318,1
112,-16.028658,0.26832163,1
113,10.109939,-31.992956,1
114,-12.445856,39.53408,1
115,-61.583324,-38.090385,1
116,-84.88964,-6.4940324,1
117,69.13984,33.838135,1
118,-13.835208,56.585293,1
119,-5.6583166,-0.013512267,1
120,-1.6077496,-65.95294,1
121,-68.7663,9.678051,1
122,42.21485,-1.0435197,1
