,tsne_feature_1,tsne_feature_2,tsne_feature_3,labels
0,-17.779898,3.0298464,-6.1841154,1
1,-5.090506,9.031994,0.7570209,1
2,-19.314392,7.4286985,-1.8038157,1
3,4.0683393,5.007491,6.9857025,1
4,5.883816,8.319812,-17.136553,1
5,13.521951,-3.6921284,-6.475134,1
6,-18.211369,2.4657881,-15.73228,1
7,2.1373434,-12.560024,14.419869,1
8,-9.977301,18.756075,8.809245,1
9,14.436828,-2.7631533,12.0899935,1
10,6.5413775,8.713096,-12.813405,1
11,-21.49888,5.5455937,-3.1617074,1
12,13.103557,11.878471,5.364828,1
13,-17.119396,3.3920124,-6.261773,1
14,-21.124195,2.5881317,-6.1213946,1
15,4.945173,7.872091,-16.67241,1
16,-18.575706,1.4553117,-5.5866585,1
17,6.65455,1.1294404,-21.708523,1
18,2.0926678,-10.761098,13.5868225,1
19,-18.842873,4.0053034,-4.8295803,1
20,-6.729635,4.7727385,9.286386,1
21,7.323817,4.057274,-17.786585,1
22,1.9608377,1.2691966,5.1119432,1
23,-17.927221,5.3856516,-6.962142,1
24,22.71157,-2.022269,-8.073353,1
25,-4.580696,-17.724043,-11.689346,1
26,-10.272114,14.864747,3.9676535,1
27,-0.0428267,-11.700632,-7.6596484,1
28,-18.287584,1.5336955,-5.665226,1
29,-1.1107314,-11.0423765,-7.445974,1
30,5.8172393,-0.2592761,-21.229813,1
31,5.032062,-13.753747,-11.622834,1
32,10.184547,4.3336644,-19.289463,1
33,-17.347582,2.659905,-6.6230774,1
34,6.8849607,-20.364422,-0.85246617,1
35,-19.973951,3.237916,-15.72708,1
36,-1.5511252,-10.2157755,-7.398866,1
37,7.903397,8.52314,-12.579822,1
38,-3.1296468,2.6544685,-8.912402,1
39,9.358413,8.984526,4.9448295,1
40,-1.4493396,-19.149439,-12.47956,1
41,21.417501,4.266797,-5.936874,1
42,-17.986267,1.255185,-3.670408,1
43,11.495847,-1.6103612,9.580787,1
44,6.5507946,0.92904675,-20.206537,1
45,3.0652192,4.3720818,-21.594645,1
46,-24.066225,3.2452528,-1.8288126,1
47,10.646877,1.860446,10.420728,1
48,23.799965,0.61796886,-4.8712373,1
49,5.1737285,5.7564764,-12.434292,1
50,4.3205895,-9.014737,14.2858305,1
51,7.4176607,-5.4053655,-21.545132,1
52,-22.701258,6.0641613,-2.7933943,1
53,12.487921,0.77915776,-17.400095,1
54,0.91729945,6.269233,13.568774,1
55,-18.101032,5.545052,-6.848209,1
56,-4.5132775,18.310116,-0.7196711,1
57,12.53989,-4.0159636,-6.1024,1
58,5.8279266,0.88702846,-22.288778,1
59,7.689604,1.1194502,-17.58569,1
60,3.3445582,2.1375825,8.773957,1
61,7.194744,9.387762,-12.367277,1
62,5.624846,9.509869,-13.085468,1
63,-7.8058014,16.064167,2.4730136,1
64,22.242632,-7.2125516,-1.4519397,1
65,8.73185,-5.5359974,-18.74191,1
66,2.3352182,3.001823,8.778503,1
67,22.192295,-8.570416,-1.7273256,1
68,20.90496,-2.8607898,-6.40769,1
