,tsne_feature_1,tsne_feature_2,labels
0,36.443035,-64.341324,1
1,-2.5559897,8.12467,1
2,50.63165,-66.95074,1
3,-53.496326,-8.186006,1
4,103.094315,-1.2172816,1
5,-13.832916,78.120834,1
6,66.152664,-50.43705,1
7,-23.336142,-9.952201,1
8,17.581533,-55.10329,1
9,-94.496605,0.27551508,1
10,95.99529,23.00888,1
11,49.427795,-79.66545,1
12,-44.87428,-0.44220367,1
13,36.970776,-62.935017,1
14,39.648643,-85.19826,1
15,100.88026,-0.33722237,1
16,39.50492,-66.67143,1
17,67.74028,2.9739976,1
18,-27.364363,-13.691266,1
19,43.40757,-93.27738,1
20,2.192502,-14.616212,1
21,70.864845,17.993845,1
22,-50.424564,-15.676982,1
23,55.289383,-66.53228,1
24,3.8060064,79.14224,1
25,-21.892784,-85.82187,1
26,50.372566,-18.014183,1
27,-53.321724,-50.583893,1
28,39.27094,-65.8977,1
29,-43.684555,-49.427296,1
30,68.909096,5.138478,1
31,-62.197876,-65.26273,1
32,64.484024,22.567177,1
33,37.99598,-63.877308,1
34,-41.8774,47.362656,1
35,66.7735,-48.08157,1
36,-40.839844,-47.59783,1
37,94.30261,27.929455,1
38,-30.49762,30.935684,1
39,-45.572456,11.939949,1
40,-42.52745,-71.743744,1
41,3.352233,61.151882,1
42,41.99407,-66.3507,1
43,-78.06243,13.061744,1
44,70.22193,3.5274603,1
45,84.31983,-8.712742,1
46,40.046608,-78.82088,1
47,-71.54342,3.4428966,1
48,4.479792,67.50031,1
49,91.73737,20.160858,1
50,-22.065525,5.297882,1
51,68.0903,9.918747,1
52,45.608208,-76.99458,1
53,72.66567,24.973253,1
54,-72.97296,-26.440025,1
55,55.78314,-65.617226,1
56,-5.2453995,23.371264,1
57,-17.770065,75.577065,1
58,66.94241,3.8102903,1
59,76.480316,17.412529,1
60,-63.138428,-16.722635,1
61,97.86425,24.381395,1
62,96.38708,20.558706,1
63,47.4451,-7.03316,1
64,-0.63776267,95.92079,1
65,74.849754,10.133626,1
66,-58.668297,-12.732885,1
67,1.6189476,95.27162,1
68,0.8526784,76.92895,1
69,97.09374,20.139378,1
70,43.534054,-35.704388,1
71,102.20051,2.6544309,1
72,86.23964,22.345818,1
73,-37.77522,-41.734066,1
74,10.761519,25.70708,1
75,43.377644,-76.00985,1
76,67.1372,2.7271817,1
77,-79.08485,19.716373,1
78,-57.12811,-5.297035,1
79,-7.3492436,73.01575,1
80,-56.830063,-71.14407,1
81,-89.19337,5.678356,1
82,55.92461,38.420883,1
83,79.80945,12.26681,1
84,-2.5832362,91.627106,1
85,-1.3113382,-79.97473,1
86,49.800076,-67.60176,1
87,44.629444,-75.54612,1
88,-3.338724,73.18898,1
89,0.64440656,95.768265,1
90,39.681458,-85.205605,1
91,7.3082247,62.41927,1
92,-28.847834,-8.311884,1
93,70.67532,25.872032,1
94,-11.566367,-85.399254,1
95,3.0697331,-3.6982727,1
96,53.97412,10.55702,1
97,57.649742,-65.10833,1
98,73.011665,5.367344,1
99,-80.36183,-25.037794,1
100,45.87035,-68.700645,1
101,6.024587,-15.248948,1
102,23.383644,-8.154076,1
103,43.023792,-75.894104,1
104,-91.249146,-18.152822,1
105,6.115331,53.71636,1
106,91.26743,25.24567,1
107,9.19469,-2.1900885,1
108,-1.4590887,34.62966,1
109,-84.11869,-20.02282,1
110,51.733818,-66.28426,1
111,42.69201,-66.67125,1
112,-71.70811,22.253553,1
113,17.032152,0.66171455,1
114,-11.183432,-4.1148157,1
115,66.92575,-52.91765,1
116,75.26633,-2.5449588,1
117,6.8608613,55.040287,1
118,-9.324493,-24.398804,1
119,-53.017517,15.799918,1
120,52.725307,-11.56603,1
121,70.049446,25.027576,1
122,-34.555897,-40.998177,1
123,84.98461,-8.213575,1
124,-63.57757,-33.080086,1
125,-78.37841,-25.15009,1
126,67.685646,10.408309,1
127,-93.92801,0.06468944,1
128,-20.474968,60.683807,1
129,-92.38424,-15.188775,1
130,97.730225,-1.459799,1
131,80.13658,13.437275,1
132,87.65599,2.7226236,1
133,46.50798,-5.631022,1
134,102.65429,-1.2390832,1
135,-68.84381,-22.966143,1
136,-11.485584,79.961525,1
137,-61.762974,-33.663097,1
138,83.26862,-5.6880474,1
139,8.73199,-29.807238,1
140,51.42056,-69.67593,1
141,37.17537,30.60656,1
142,74.17769,25.899277,1
143,66.7561,-48.39305,1
144,66.71454,20.61151,1
145,-11.680557,80.86126,1
146,5.443707,73.736984,1
147,-48.40456,21.64016,1
148,85.91869,21.452166,1
149,30.625294,-81.68257,1
150,4.919853,-41.422264,1
151,37.004208,-64.16861,1
152,-58.639843,16.255457,1
153,9.515308,54.133316,1
154,33.721497,18.956102,1
155,29.088232,-82.26945,1
156,33.331985,29.199839,1
157,-53.66066,-11.017611,1
158,-54.499653,-20.2168,1
159,97.559845,20.475721,1
160,-82.817894,21.006329,1
161,43.013985,-66.57249,1
162,-7.89384,-41.644253,1
163,86.79838,7.0847087,1
164,71.49023,24.90206,1
165,-7.6047006,80.91618,1
166,24.738327,-30.986832,1
167,76.626045,-1.3509562,1
168,79.88254,14.143029,1
169,-22.636484,-84.1506,1
170,-33.28049,-78.86522,1
171,66.74247,-48.14648,1
172,-44.91555,-0.56229246,1
173,89.942986,29.418335,1
174,52.33827,8.378191,1
175,83.40433,-6.9940124,1
176,-55.864292,11.270061,1
177,78.016205,-2.0216498,1
178,-93.2878,-15.709108,1
179,-18.693302,90.35059,1
180,-45.686573,11.077872,1
181,-0.83563006,75.63849,1
182,31.015358,31.22122,1
183,-22.49658,5.8339157,1
184,67.02498,-50.040005,1
185,-38.924088,-64.73986,1
186,44.563,-64.2983,1
187,69.910446,-49.213665,1
188,-40.97452,-75.32714,1
189,36.871178,-62.932365,1
190,-62.32392,-14.385731,1
191,70.65804,8.30577,1
192,-7.2045593,-78.77413,1
193,68.29932,-53.206585,1
194,37.936543,31.328838,1
195,-12.301976,73.96938,1
196,86.58825,-6.7435994,1
197,-58.595158,-62.4717,1
198,-42.448452,-67.2941,1
199,-60.207977,18.65141,1
200,-13.344965,89.16657,1
201,68.07133,-50.857605,1
202,35.269444,12.970273,1
203,36.02966,13.245539,1
204,-20.641502,-61.249596,1
205,-83.869286,16.596243,1
206,-0.6931561,34.31974,1
207,-45.376434,38.150295,1
208,79.907585,-2.5554755,1
209,26.653723,-36.351276,1
210,-41.228237,11.267099,1
211,39.681892,-40.39815,1
212,-15.790463,68.14587,1
213,-38.049,14.541687,1
214,-61.599056,19.133436,1
215,37.107635,-80.67608,1
216,7.7485285,66.02521,1
217,70.35744,-49.828323,1
218,69.518745,-49.62902,1
219,55.866386,-68.464714,1
220,68.758125,-52.917973,1
221,-19.317833,-91.65631,1
222,13.25189,-13.23731,1
223,-15.003325,-12.089398,1
224,-20.775087,26.506876,1
225,41.80317,-86.88529,1
226,-2.7990065,0.87592167,1
227,-21.626316,-84.74651,1
228,-44.03484,2.654985,1
229,79.50848,12.125446,1
230,36.880634,20.278103,1
231,-44.14056,23.526545,1
232,-58.580444,16.296259,1
233,65.62942,23.23158,1
234,-16.337074,89.5896,1
235,15.848052,-36.490406,1
236,-4.3712487,90.55714,1
237,-42.424835,-56.879543,1
238,74.28343,24.587734,1
239,43.788357,-66.659996,1
240,-41.7953,-71.28884,1
241,-48.018185,-42.162334,1
242,-41.125935,-37.953903,1
243,70.38853,-50.14247,1
244,-58.02639,-69.37431,1
245,31.559158,81.21639,1
246,51.2451,9.896949,1
247,79.57223,-2.2046947,1
248,10.602745,-71.80738,1
249,-40.39106,76.41735,0
250,69.77062,7.7433677,0
251,-3.3502705,-31.948381,0
252,44.463802,-14.838298,0
253,-21.709717,40.80209,0
254,-63.31245,-13.855702,0
255,-73.41103,16.14742,0
256,30.548805,-81.074684,0
257,31.164515,30.673317,0
258,71.18186,17.939548,0
259,-91.53344,-15.332349,0
260,42.85808,-63.4377,0
261,18.19022,13.083338,0
262,47.933624,-3.1245832,0
263,21.80619,13.046483,0
264,-20.153658,29.80475,0
265,-22.346104,-34.595665,0
266,15.13872,30.7062,0
267,-82.99374,-28.673534,0
268,41.628334,-81.18648,0
269,89.14046,25.757408,0
270,82.07523,19.302858,0
271,33.293186,32.030552,0
272,-15.274646,74.92291,0
273,-41.337025,16.511593,0
274,-38.30741,10.883018,0
275,50.423515,-46.666485,0
276,29.592838,54.846596,0
277,-0.22024718,3.203817,0
278,-1.5293018,7.7618327,0
279,0.4787022,87.88341,0
280,-85.20214,0.8052564,0
281,75.06674,9.826916,0
282,-10.753167,-50.241856,0
283,-86.90943,-2.058566,0
284,-42.909492,45.442726,0
285,47.855816,-2.5610273,0
286,-22.818636,-27.1392,0
287,-86.51056,0.7672367,0
288,-6.536825,-36.260895,0
289,5.4512258,54.110786,0
290,-67.64493,48.28256,0
291,-39.527332,72.85615,0
292,25.09776,83.58493,0
293,-12.417986,74.15092,0
294,40.038048,70.33859,0
295,-82.03827,-29.14871,0
296,4.026144,8.589987,0
297,75.098076,1.6880109,0
298,-39.874813,-42.401142,0
299,18.621721,-58.999878,0
300,-88.11282,5.609411,0
301,-28.256008,-4.6791573,0
302,-9.648705,-86.87899,0
303,-35.559174,-40.02982,0
304,-3.7685072,-81.375854,0
305,3.7506268,54.13453,0
306,-6.9270964,-40.59729,0
307,-22.314331,60.712273,0
308,-49.84043,-0.014893404,0
309,-32.729046,-77.29014,0
310,10.88892,-61.041367,0
311,-89.27348,-5.3961973,0
312,6.017634,-56.983715,0
313,31.258734,32.23637,0
314,66.5641,20.009632,0
315,51.010666,-65.19407,0
316,5.160579,73.68731,0
317,92.6987,19.63506,0
318,28.923063,-15.922493,0
319,-21.098099,-28.313086,0
320,-23.032543,39.570145,0
321,-42.571236,74.895134,0
322,-4.1684146,-30.56993,0
323,-58.317253,-68.9172,0
324,-42.165543,46.232876,0
325,-40.228077,-47.73837,0
326,96.34209,-2.2384212,0
327,-35.59666,71.84368,0
328,23.685423,51.943825,0
329,35.99217,54.13692,0
330,-48.74549,-15.461799,0
331,67.11557,22.704586,0
332,-13.878336,66.887566,0
333,-58.157116,3.2809145,0
334,12.207425,-51.822296,0
335,-40.43842,75.00578,0
336,-85.1383,0.21183708,0
337,37.343758,-80.50095,0
338,46.79084,-44.08598,0
339,14.342772,32.177563,0
340,-41.449387,9.341778,0
341,23.32553,8.947993,0
342,44.057735,-64.40226,0
343,-21.728245,60.823353,0
344,-60.29477,19.474121,0
